Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
48,-2.7997,2.0802,78.0333,-1.934,-5.82,4.625,6.088,17.412,27.215,14.02,-17.876,-7.835,4.908,-6.449,-11.238,11.182,-4.608,15.0,-1.886,1.908,17.329,-17.126,17.79,-21.887,72.562,-8.983,0.0,5.953,-10.678,-18.944,35.164,68.262,0.0,-51.077,0.0
49,-2.9614,2.1284,78.0292,-1.798,-5.539,4.765,5.426,17.136,26.824,14.179,-19.25,-7.776,3.331,-6.805,-10.747,13.514,-10.228,15.0,-1.848,1.519,17.444,-15.439,19.679,-79.843,52.474,-8.806,0.0,6.007,-10.923,-18.986,34.643,67.752,0.0,-50.812,0.0
50,-3.1334,2.1565,78.0269,-1.616,-5.241,4.859,4.906,16.81,26.521,14.14,-19.978,-7.611,1.554,-7.128,-9.853,15.872,-3.051,15.0,-1.548,1.078,17.537,-15.156,20.456,-40.604,46.539,-8.648,0.0,6.07,-11.137,-19.087,35.13,67.557,0.0,-50.599,0.0
51,-3.3056,2.1504,78.0216,-1.416,-4.991,4.951,4.538,16.501,26.313,13.998,-20.493,-7.379,-0.216,-7.301,-8.423,18.701,-9.5,15.0,-1.035,0.636,17.656,-16.261,20.072,-3.841,54.333,-8.518,0.0,6.156,-11.218,-19.105,35.126,67.887,0.0,-50.463,0.0
52,-3.4732,2.1053,78.0094,-1.207,-4.895,5.1,4.266,16.222,26.023,13.78,-18.387,-7.12,-1.764,-7.378,-6.802,21.169,-8.928,15.0,-0.211,0.256,17.74,-19.616,17.805,2.081,78.781,-8.42,0.0,6.302,-10.976,-19.162,35.004,68.203,0.0,-50.436,0.0
53,-3.6214,2.0211,77.9935,-1.047,-4.971,5.38,4.074,16.006,25.674,13.38,-9.567,-6.86,-2.994,-7.379,-4.992,23.385,-9.357,15.0,0.345,-0.073,17.977,-21.574,17.013,55.64,90.601,-8.36,0.0,6.553,-10.907,-19.152,35.065,68.783,0.0,-50.558,0.0
54,-3.7384,1.8999,77.9783,-0.981,-5.101,5.823,3.932,15.868,25.27,13.174,-7.17,-6.61,-3.858,-7.402,-3.222,25.15,-6.323,15.0,0.71,-0.315,18.294,-22.742,17.051,125.493,94.798,-8.339,0.0,6.936,-10.894,-19.138,35.344,69.536,0.0,-50.845,0.0
55,-3.8238,1.7364,77.9574,-0.924,-5.215,6.409,3.717,15.744,24.579,13.012,-2.863,-6.367,-4.303,-7.565,-1.712,26.66,-11.044,15.0,0.823,-0.503,18.705,-22.742,17.567,39.549,90.785,-8.35,0.0,7.462,-10.751,-19.05,34.32,68.744,0.0,-51.289,0.0
56,-3.8705,1.5236,77.9243,-0.822,-5.302,7.169,3.45,15.634,23.782,13.117,-7.888,-6.113,-4.358,-7.973,-0.684,27.811,-20.751,15.0,0.633,-0.677,19.108,-21.362,19.411,-46.395,73.948,-8.39,0.0,8.109,-10.88,-18.97,34.3,68.531,0.0,-51.863,0.0
57,-3.8711,1.2724,77.8811,-0.709,-5.353,8.18,3.143,15.463,22.831,12.898,-3.629,-5.823,-4.128,-8.709,-0.276,28.526,-26.221,15.0,0.358,-0.857,19.461,-19.972,21.171,-75.563,58.562,-8.455,0.0,8.844,-10.983,-18.824,33.644,68.36,0.0,-52.55,0.0
58,-3.8292,0.9763,77.8248,-0.551,-5.388,9.357,2.798,15.21,21.793,12.769,-3.787,-5.497,-3.619,-9.726,-0.423,28.734,-28.12,15.0,0.379,-1.038,19.625,-20.723,20.815,-29.227,64.737,-8.537,0.0,9.612,-10.848,-18.864,33.946,67.929,0.0,-53.269,0.0
59,-3.7589,0.6191,77.75,-0.307,-5.448,10.547,2.415,14.894,20.693,12.74,-7.856,-5.148,-2.955,-10.841,-0.863,28.792,-33.582,15.0,0.503,-1.235,19.689,-21.644,20.145,34.195,71.482,-8.641,0.0,10.329,-10.639,-18.914,34.05,67.459,0.0,-53.899,0.0
60,-3.6648,0.1968,77.6567,0.01,-5.481,11.706,1.986,14.591,19.572,12.634,-8.663,-4.787,-2.24,-11.884,-1.422,28.537,-31.158,15.0,0.746,-1.415,19.659,-22.947,19.097,94.571,82.079,-8.796,0.0,10.925,-10.398,-19.009,34.227,66.871,0.0,-54.354,0.0
61,-3.5456,-0.2997,77.5482,0.331,-5.423,12.784,1.519,14.354,18.477,12.256,0.903,-4.424,-1.496,-12.76,-1.872,28.248,-34.449,15.0,0.915,-1.571,19.608,-23.007,19.127,150.0,82.312,-9.024,0.0,11.399,-10.337,-19.103,34.606,66.292,0.0,-54.595,0.0
62,-3.4047,-0.8685,77.4331,0.586,-5.346,13.802,1.007,14.232,17.408,12.107,6.395,-4.066,-0.789,-13.414,-2.152,27.602,-27.455,15.0,1.109,-1.674,19.539,-22.38,19.661,64.057,77.454,-9.341,0.0,11.731,-10.397,-19.194,35.151,65.695,0.0,-54.61,0.0
63,-3.2493,-1.506,77.3111,0.748,-5.292,14.734,0.468,14.28,16.362,12.125,10.028,-3.708,-0.064,-13.802,-2.376,26.616,-13.376,15.0,1.291,-1.718,19.496,-21.05,20.701,-21.887,67.509,-9.761,0.0,11.882,-10.642,-19.232,35.988,65.166,0.0,-54.496,0.0
64,-3.0923,-2.2086,77.1758,0.907,-5.261,15.555,-0.055,14.546,15.341,12.425,6.06,-3.336,0.71,-13.887,-2.698,25.708,-7.184,15.0,1.432,-1.68,19.528,-19.055,22.27,-34.925,52.608,-10.29,0.0,11.818,-11.106,-19.179,37.037,64.779,0.0,-54.376,0.0
65,-2.9378,-2.9806,77.0355,0.989,-5.362,16.24,-0.509,15.046,14.309,12.508,8.754,-2.927,1.533,-13.663,-3.235,24.81,-3.301,15.0,1.722,-1.496,19.595,-18.243,22.838,-23.55,49.631,-10.919,0.0,11.542,-11.491,-18.996,37.217,64.491,0.0,-54.351,0.0
66,-2.7901,-3.8179,76.9077,0.837,-5.498,16.953,-0.935,15.781,13.251,12.731,5.549,-2.465,2.385,-13.103,-3.967,24.052,-6.791,15.0,2.053,-1.149,19.662,-18.333,22.506,-38.928,54.712,-11.612,0.0,11.073,-11.893,-18.793,37.623,64.263,0.0,-54.466,0.0
67,-2.6583,-4.6775,76.8045,0.437,-5.66,17.691,-1.339,16.73,12.141,12.948,0.422,-1.926,3.205,-12.189,-4.833,23.393,-10.49,15.0,2.176,-0.623,19.798,-17.8,22.69,-38.522,54.831,-12.334,0.0,10.434,-12.444,-18.526,37.916,64.157,0.0,-54.72,0.0
68,-2.5463,-5.516,76.7393,-0.18,-5.858,18.434,-1.723,17.883,11.01,12.908,1.497,-1.286,4.003,-10.979,-5.846,22.895,-17.597,15.0,2.064,0.088,20.004,-16.612,23.202,-22.203,50.141,-13.077,0.0,9.674,-13.126,-18.273,38.277,64.146,0.0,-55.07,0.0
69,-2.4557,-6.3142,76.7175,-0.894,-6.016,19.19,-2.164,19.105,9.929,12.827,3.7,-0.549,4.754,-9.625,-6.877,22.659,-35.177,15.0,2.005,0.968,20.098,-17.079,22.491,-16.026,58.859,-13.768,0.0,8.891,-13.601,-18.131,38.174,64.164,0.0,-55.407,0.0
70,-2.3881,-7.0762,76.7315,-1.613,-6.296,19.92,-2.658,20.252,8.981,12.811,5.005,0.302,5.417,-8.315,-7.85,22.02,-35.058,15.0,1.792,1.851,20.206,-17.226,21.864,-55.828,65.074,-14.328,0.0,8.148,-14.07,-18.045,37.72,64.224,0.0,-55.641,0.0
71,-2.3408,-7.8012,76.7721,-2.2,-6.56,20.62,-3.216,21.206,8.225,13.024,1.757,1.287,6.071,-7.201,-8.817,21.299,-34.481,15.0,1.477,2.603,20.343,-17.182,21.403,-126.01,68.844,-14.721,0.0,7.469,-14.494,-18.018,36.826,64.294,0.0,-55.748,0.0
72,-2.3074,-8.4934,76.8364,-2.54,-6.688,21.287,-3.871,21.897,7.672,13.425,-2.193,2.4,6.71,-6.361,-9.754,20.318,-26.404,15.0,1.118,3.134,20.513,-17.139,21.325,-40.066,69.955,-14.952,0.0,6.856,-14.847,-18.07,35.443,64.286,0.0,-55.707,0.0
