Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
42,30.2144,55.54,71.0003,-96.656,49.296,-27.242,-95.853,27.23,-17.118,35.493,-15.609,-15.0,17.424,-14.845,-17.49,21.055,27.245,15.0,-1.45,-29.748,17.754,-123.025,58.898,-28.09,68.852,11.141,0.0,-0.0,-90.888,-82.723,13.222,41.281,0.0,-65.057,0.0
43,31.3967,58.1309,71.6163,-103.24,47.318,-31.08,-95.62,28.938,-19.671,28.896,-16.322,-15.0,20.224,-17.973,-19.299,23.089,23.202,15.0,1.064,-29.737,18.382,-128.552,54.879,-32.897,68.721,10.925,0.0,-0.0,-93.011,-81.421,15.518,45.884,0.0,-65.011,0.0
44,32.5489,60.7145,72.2832,-109.125,45.2,-33.863,-95.781,31.063,-20.854,23.674,-19.066,-15.0,22.559,-20.878,-20.07,24.898,21.385,15.0,1.513,-29.794,17.615,-133.683,53.711,-29.75,66.143,10.171,0.0,-0.0,-105.429,-74.214,21.588,55.127,0.0,-66.026,0.0
45,33.6722,63.3428,72.9282,-114.716,43.369,-35.771,-96.686,33.177,-21.188,20.626,-17.812,-11.745,24.202,-23.454,-20.105,26.573,19.961,15.0,2.378,-29.443,18.193,-140.079,52.723,-43.392,69.716,10.855,0.0,-0.0,-124.723,-52.922,53.534,66.193,0.0,-67.751,0.0
46,34.777,66.0291,73.512,-120.36,41.842,-37.611,-98.051,35.001,-21.258,20.008,-15.34,-5.612,25.182,-25.644,-19.8,27.862,20.417,15.0,6.273,-29.012,20.485,-144.69,45.972,-99.429,71.961,10.063,0.0,-0.0,-137.93,-59.133,75.9,66.211,0.0,-68.892,0.0
47,35.8731,68.7494,74.0058,-126.324,40.275,-39.949,-99.074,36.365,-21.496,20.961,1.419,1.523,25.427,-27.184,-19.507,28.62,22.271,15.0,7.607,-28.788,21.327,-148.395,41.143,-13.485,79.475,8.281,0.0,-0.0,-176.998,-64.06,134.234,65.459,0.0,-68.639,0.0
48,36.9754,71.4621,74.2984,-131.641,38.861,-41.758,-98.905,37.522,-21.895,22.791,13.428,8.362,24.853,-28.113,-19.318,28.464,25.963,15.0,7.445,-29.169,21.0,-151.652,37.717,72.458,83.921,6.027,0.0,-0.0,-91.054,-77.167,48.29,61.571,0.0,-66.504,0.0
49,38.1153,74.1474,74.3833,-136.449,37.305,-43.108,-97.059,38.714,-22.323,24.042,25.265,13.606,23.483,-28.651,-19.629,27.124,30.0,15.0,8.622,-28.997,20.555,-152.1,32.587,111.916,84.485,3.753,0.0,0.0,-5.111,-100.799,-37.654,51.894,0.0,-62.66,0.0
50,39.3176,76.7953,74.3071,-141.862,35.396,-44.927,-93.261,40.269,-22.346,24.144,27.052,15.0,21.674,-29.091,-21.204,24.997,28.431,15.0,6.329,-28.084,17.565,-151.121,34.857,127.788,78.265,1.746,0.0,-0.0,-11.053,-101.761,-55.608,51.159,0.0,-57.766,0.0
51,40.5906,79.3699,74.0487,-146.583,32.928,-46.323,-87.663,42.548,-21.137,22.946,28.32,15.0,19.765,-29.478,-24.074,22.053,29.218,15.0,3.462,-27.33,14.169,-150.025,38.535,150.0,69.024,-0.055,0.0,-0.0,-65.935,-103.552,-11.521,51.921,0.0,-52.491,0.0
52,41.8944,81.8301,73.6471,-150.769,30.15,-47.158,-80.264,45.482,-18.474,21.051,26.64,15.0,17.96,-29.832,-28.026,18.738,30.0,15.0,0.048,-26.438,10.532,-148.462,44.702,64.057,49.499,-1.072,0.0,-0.0,-83.403,-102.876,-6.48,55.711,0.0,-47.575,0.0
53,43.1623,84.1364,73.0744,-154.528,28.241,-46.783,-71.219,48.746,-14.148,18.745,28.175,15.0,16.278,-30.357,-32.317,15.479,29.306,15.0,0.165,-24.455,9.94,-148.762,45.955,-21.887,55.68,-0.0,0.0,-0.0,-51.228,-101.545,-29.33,58.257,0.0,-43.213,0.0
54,44.376,86.2683,72.3603,-158.193,26.889,-45.577,-60.663,51.852,-8.22,16.498,29.355,15.0,14.688,-31.21,-36.148,12.438,28.526,15.0,0.53,-22.456,9.208,-146.988,48.211,-89.678,55.149,-0.0,0.0,-0.0,-41.117,-103.475,-39.947,55.897,0.0,-39.098,0.0
55,45.5454,88.2232,71.6298,-161.231,25.759,-43.767,-49.084,54.155,-1.344,14.626,29.762,15.0,12.881,-32.291,-38.774,9.814,27.13,15.0,1.007,-20.386,8.634,-145.51,49.282,-114.762,58.972,-0.0,0.0,-0.0,-32.502,-104.082,-50.266,50.104,0.0,-35.151,0.0
